date,"Net productivity output per hour","Total compensation per hour"
1960-04-01,145.9028177429347,145.59053044481865
1960-07-01,146.1923960169742,146.20533756166668
1960-10-01,144.92611412808802,146.4791247801427
1961-01-01,146.55280773573705,147.58190323204406
1961-04-01,151.10268131389418,148.42771972375868
1961-07-01,152.7619526038104,148.51763069579508
1961-10-01,153.8316024607524,149.08686517675918
1962-01-01,155.6628667557317,151.00270340738484
1962-04-01,155.55467252236883,151.59030672596623
1962-07-01,157.42796712462052,152.28427860187855
1962-10-01,158.92676929082938,153.3232853723792
1963-01-01,160.67739669231278,154.73996188770158
1963-04-01,161.79341031063365,155.77918778079697
1963-07-01,163.8101206874909,155.3494929780185
1963-10-01,165.44703495580308,157.15163602469505
1964-01-01,167.44873015463276,158.03060589807163
1964-04-01,167.0138522066419,158.5772474610712
1964-07-01,169.59135493107925,160.2829750820997
1964-10-01,168.7136536136847,160.44717035746322
1965-01-01,171.08879203827036,161.56845954375376
1965-04-01,171.37986612541633,162.35887133039088
1965-07-01,175.04930554976812,163.13972646410042
1965-10-01,178.51266030996027,164.7729083927553
1966-01-01,179.33982356602183,165.07484251411532
1966-04-01,178.15189453251125,165.3680765436306
1966-07-01,178.68481973851638,165.6038619611884
1966-10-01,179.4004542704722,165.67574269373046
1967-01-01,180.08133017962132,166.7907356460858
1967-04-01,181.6981780041239,168.48069902697262
1967-07-01,181.54949289303616,168.6755248699381
1967-10-01,182.33882380421576,169.2200360553312
1968-01-01,186.3407972809476,170.6036656730439
1968-04-01,187.58553555061977,171.06941352695472
1968-07-01,187.88803167326776,172.22460533516056
1968-10-01,187.97001744647432,172.8702415940948
1969-01-01,189.7391410439316,175.06091738099462
1969-04-01,188.786129880054,175.14811164798098
1969-07-01,190.36467513172175,176.1928275966871
1969-10-01,189.62204066895796,177.17776781760236
1970-01-01,190.1233509121642,176.40903806925556
1970-04-01,191.93999052340268,176.8454345239021
1970-07-01,195.3011105823355,178.55041631520123
1970-10-01,193.8959281950345,178.87423946462283
1971-01-01,200.01734023484343,181.10317819963643
1971-04-01,200.8123793468046,182.10522505364432
1971-07-01,203.21770811801952,183.4928000723327
